name,rating,ctype,highly_rated,critically_rated
Common Service Centres,4.4,Government,"Work Life Balance, Work Satisfaction, Skill Development",
Riya Travel,3.6,Travel & Tourism,"Promotions, Work Satisfaction, Salary",
Thought Focus,3.3,IT Services & Consulting,"Promotions, Skill Development, Company Culture",
Numeric UPS,4.0,Electrical Equipment,"Company Culture, Job Security",Promotions
Gopal Snacks Limited,4.2,FMCG,"Company Culture, Work Life Balance, Skill Development",
Realty Assistant,3.6,Real Estate,Salary,
Aludecor Lamination,3.9,Building Material,Skill Development,Promotions
ZF Friedrichshafen,3.8,Auto Components,Work Life Balance,Promotions
Suzlon Global Services,3.8,Pune +64 other locations,"Job Security, Skill Development","Promotions, Salary"
Brainvire,3.0,IT Services & Consulting,"Job Security, Promotions, Work Satisfaction",
Onshore Construction,3.7,Engineering & Construction,"Promotions, Company Culture, Work Satisfaction",
Paradeep Phosphates,3.9,Agro Chemicals,Job Security,"Promotions, Salary"
Sany Heavy Industry,3.7,Industrial Machinery,"Promotions, Company Culture, Work Life Balance",
Keysight Technologies,3.8,Electronics Manufacturing,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Skill Development"
Landis+Gyr,2.8,Electrical Equipment,"Job Security, Skill Development, Promotions",
Prime Focus Technologies,3.1,Software Product,"Promotions, Salary, Job Security",
Avery Dennison,3.7,Packaging,"Promotions, Skill Development, Work Satisfaction",
Mediterranean Shipping Company,4.0,Ports & Shipping,"Job Security, Company Culture, Work Life Balance",Promotions
Landis+Gyr,2.8,Electrical Equipment,"Job Security, Skill Development, Promotions",
Avery Dennison,3.7,Packaging,"Promotions, Skill Development, Work Satisfaction",
RND Softech,3.0,BPO,"Promotions, Salary, Company Culture",
Samsung Display,3.8,Electronics Manufacturing,"Job Security, Work Life Balance, Company Culture","Promotions, Skill Development"
Meghmani Organics,3.7,Chemicals,"Promotions, Salary",
Ramco Industries,4.1,Building Material,"Job Security, Work Life Balance, Work Satisfaction",Promotions
Moon Beverages,3.9,Beverage,"Work Life Balance, Skill Development",Promotions
Technico Industries,3.5,Auto Components,"Promotions, Company Culture, Work Satisfaction",
Sayaji Hotels,4.1,Hospitality,"Company Culture, Work Life Balance, Work Satisfaction",
Bhilosa Industries,3.7,Fashion & Textile,"Promotions, Salary",
SBI Mutual Fund,3.8,Financial Services,"Job Security, Work Life Balance","Promotions, Salary"
Teradata,3.6,Software Product,Work Life Balance,"Job Security, Promotions, Skill Development"
iNurture Education Solutions,2.5,EdTech,"Promotions, Salary, Work Satisfaction",
Cloud4C,3.5,IT Services & Consulting,Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
Thales,3.6,IT Services & Consulting,Work Life Balance,"Promotions, Work Satisfaction, Skill Development"
WM Universal Solutions Private Limited,3.6,Waste Management,"Job Security, Work Life Balance","Promotions, Skill Development, Salary"
Nash Industries,3.4,Industrial Machinery,"Company Culture, Promotions, Salary",
Shalimar Paints,3.5,Chemicals,"Promotions, Job Security, Company Culture",
Star Bazaar,3.8,Retail,Job Security,"Promotions, Salary"
MagicPin,2.5,Internet,"Company Culture, Work Life Balance, Job Security",
WM Universal Solutions Private Limited,3.6,Waste Management,"Job Security, Work Life Balance","Promotions, Skill Development, Salary"
MagicPin,2.5,Internet,"Company Culture, Work Life Balance, Job Security",
Star Bazaar,3.8,Retail,Job Security,"Promotions, Salary"
Xanadu,3.7,Real Estate,"Job Security, Skill Development, Salary","Work Life Balance, Company Culture, Work Satisfaction"
Tata International,3.5,Import & Export,"Promotions, Salary, Work Satisfaction",
Oriental Structural Engineers,4.3,Engineering & Construction,"Company Culture, Work Life Balance, Work Satisfaction",
Dana India,4.0,Auto Components,"Company Culture, Work Life Balance, Skill Development",Promotions
Gulf Oil Lubricants,4.1,Oil & Gas,"Work Life Balance, Salary, Company Culture",Promotions
Allied Blenders & Distillers,4.0,Beverage,"Job Security, Work Life Balance",Promotions
Visaka Industries,3.8,Building Material,Work Life Balance,"Promotions, Skill Development"
Bahwan Engineering,4.0,Engineering & Construction,"Work Life Balance, Job Security, Company Culture",Promotions
Qcon,4.3,Engineering & Construction,"Work Satisfaction, Skill Development, Company Culture",
Godrej Interio,3.8,Furniture & Furnishing,Job Security,Promotions
British Council,3.5,Education & Training,"Promotions, Job Security, Salary",
Atyati Technologies,4.0,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Mediamint,2.8,Marketing & Advertising,"Promotions, Work Satisfaction, Skill Development",
Aditya Birla Housing Finance,3.8,NBFC,"Skill Development, Salary",
McNally Bharat Engineering,3.9,Engineering & Construction,"Work Life Balance, Job Security","Promotions, Salary"
Liberty General Insurance,3.7,Insurance,"Promotions, Work Satisfaction",
IDS Infotech,3.6,IT Services & Consulting,"Promotions, Salary, Job Security",
Magneti Marelli Motherson Auto System,3.8,Auto Components,Job Security,"Promotions, Work Satisfaction"
IDS Infotech,3.6,IT Services & Consulting,"Promotions, Salary, Job Security",
Liberty General Insurance,3.7,Insurance,"Promotions, Work Satisfaction",
NBTC GROUP,3.2,Oil & Gas,"Company Culture, Work Life Balance, Promotions",
Symphony,4.6,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Work Satisfaction",
Titagarh Rail Systems,2.7,Railways,"Company Culture, Work Life Balance, Promotions",
Cera Sanitaryware,4.0,Building Material,"Salary, Work Life Balance, Company Culture",
Anthem Biosciences,3.9,Pharma,"Salary, Job Security","Company Culture, Work Satisfaction"
Hyundai Glovis,3.6,Logistics,"Promotions, Work Satisfaction, Job Security",
MKC Infrastructure Ltd.,3.5,Engineering & Construction,"Promotions, Company Culture, Salary",
smartData Enterprises,2.9,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance",
CommScope,3.8,Telecom,"Work Life Balance, Salary",Promotions
Dow Chemical International Private Limited,3.6,Chemicals,"Promotions, Job Security, Work Satisfaction",
Jupiter Hospital,3.9,Healthcare,"Job Security, Skill Development",Promotions
GM Modular,3.8,Electrical Equipment,Promotions,
NKG Infrastructure,3.2,Engineering & Construction,"Promotions, Job Security, Salary",
Confidence Petroleum India,3.2,Oil & Gas,"Promotions, Job Security, Salary",
Yethi Consulting,3.4,IT Services & Consulting,"Promotions, Company Culture, Job Security",
Kaynes Technology,3.2,Electronics Manufacturing,"Promotions, Salary, Company Culture",
LuLu Group International,3.4,Retail,"Promotions, Salary, Company Culture",
TAO Digital,3.6,IT Services & Consulting,"Promotions, Job Security, Skill Development",
CS TECH Ai,3.9,IT Services & Consulting,"Salary, Work Life Balance, Company Culture",Promotions
Bandhan Life,3.2,Insurance,"Work Satisfaction, Promotions, Company Culture",
Bharat Seats,3.7,Auto Components,"Promotions, Company Culture, Job Security",
Revent Group,3.8,Auto Components,Work Life Balance,"Promotions, Company Culture"
Essjay Ericsson,4.2,Analytics & KPO,"Company Culture, Skill Development, Work Life Balance",
Sulekha.com,3.3,Internet,"Promotions, Work Satisfaction, Skill Development",
Infovision,3.5,IT Services & Consulting,"Job Security, Promotions, Work Satisfaction",
Aimil Pharmaceuticals,3.6,Pharma,"Promotions, Salary, Work Satisfaction",
GHCL Limited,3.9,Chemicals,"Work Life Balance, Company Culture, Job Security",Promotions
Texmaco Rail and Engineering,3.8,Engineering & Construction,Promotions,
TresVista,2.3,Analytics & KPO,"Work Life Balance, Work Satisfaction, Company Culture",
Venky's,3.7,Food Processing,"Job Security, Work Life Balance","Promotions, Salary, Skill Development"
Stryker,3.8,Medical Equipment,"Work Life Balance, Company Culture",Promotions
In Time Tec Visionsoft,3.2,IT Services & Consulting,"Promotions, Salary, Work Life Balance",
Subex,3.4,Software Product,"Promotions, Salary, Work Satisfaction",
Speridian Technologies,3.4,IT Services & Consulting,"Job Security, Promotions, Skill Development",
Stovekraft,4.0,Consumer Electronics & Appliances,"Work Life Balance, Work Satisfaction, Skill Development",
Seoyon E-hwa Automotive,3.5,Auto Components,"Promotions, Company Culture, Salary",
Henkel Adhesives Technologies,4.1,Chemicals,"Work Life Balance, Company Culture, Salary",Promotions
Grant Thornton Bharat,3.5,Accounting & Auditing,"Promotions, Work Satisfaction, Salary",
Iksula,3.2,IT Services & Consulting,"Job Security, Promotions, Work Satisfaction",
Eurokids,3.9,Education & Training,"Skill Development, Company Culture, Work Life Balance","Salary, Promotions"
Novotel Hotels,4.0,Hospitality,"Job Security, Skill Development, Company Culture",
Torrent Gas,3.1,Oil & Gas,"Promotions, Salary, Company Culture",
Avalara Technologies,2.8,Software Product,"Job Security, Promotions, Work Satisfaction",
St. Xavier's High School,3.7,Pharma,"Promotions, Company Culture, Job Security",
Bada Business,4.0,Internet,"Skill Development, Salary, Company Culture",
Saudi Binladin Group,4.3,Engineering & Construction,"Work Life Balance, Work Satisfaction, Job Security",
AIRBUS,3.6,Aviation,"Work Life Balance, Job Security","Promotions, Skill Development, Work Satisfaction"
Kiswok Industries,3.2,Iron & Steel,"Promotions, Company Culture, Salary",
Purplle.com,3.5,Retail,"Promotions, Work Satisfaction, Company Culture",
Del Monte Foods,4.0,Food Processing,"Work Life Balance, Salary, Work Satisfaction",Promotions
Pocket FM,2.7,Media & Entertainment,"Job Security, Promotions, Company Culture",
Railtel Corporation Of India,3.6,Hardware & Networking,"Promotions, Company Culture, Salary",
Indofil Industries,4.1,Agro Chemicals,"Work Life Balance, Salary, Company Culture",Promotions
Flamingo Pharmaceuticals,3.1,Pharma,"Promotions, Company Culture, Salary",
RPG Life Sciences,3.6,Pharma,"Promotions, Salary, Work Satisfaction",
Mahle Anand Thermal Systems,4.1,Auto Components,"Job Security, Company Culture, Skill Development",Promotions
Synopsys,3.6,Semiconductors,"Promotions, Work Satisfaction, Skill Development",
Pratham Education Foundation,4.1,Education & Training,"Skill Development, Company Culture, Work Life Balance",
Sahyadri Hospital,4.2,Healthcare,"Job Security, Skill Development, Company Culture",
SISL Infotech,3.5,IT Services & Consulting,"Promotions, Job Security, Skill Development",
Espire Infolabs,2.4,IT Services & Consulting,"Promotions, Job Security, Work Satisfaction",
Paper Boat(Hector Beverages Pvt. Ltd.),3.9,Beverage,"Salary, Work Life Balance, Job Security",Promotions
Loadshare Networks,3.5,Logistics,"Job Security, Promotions, Company Culture",
Dharampal Premchand,4.2,FMCG,"Work Life Balance, Job Security, Company Culture",
Joyalukkas,4.1,Retail,"Salary, Job Security, Company Culture",
Gaurs Group,4.2,Real Estate,"Work Life Balance, Company Culture, Work Satisfaction",
Kyungshin Industrial Motherson,3.3,Electrical Equipment,"Promotions, Salary, Company Culture",
Statusneo,4.0,IT Services & Consulting,"Salary, Company Culture, Work Life Balance",
Ergode,3.2,IT Services & Consulting,"Job Security, Promotions, Company Culture",
Realme,3.7,Consumer Electronics & Appliances,"Promotions, Job Security, Company Culture",
LT Foods,3.9,FMCG,"Company Culture, Work Life Balance, Job Security",Promotions
House of EdTech,4.3,Marketing & Advertising,"Promotions, Salary, Skill Development",
SMEC,3.6,Real Estate,"Promotions, Job Security, Skill Development",
Kolte Patil Developers,4.1,Real Estate,"Work Life Balance, Salary, Company Culture",Promotions
B. Braun Medical,4.1,Healthcare,"Work Life Balance, Job Security, Company Culture",Promotions
Gokaldas Exports,3.9,Fashion & Textile,Job Security,Promotions
Prodair Air Products,3.7,Oil & Gas,"Work Life Balance, Salary, Company Culture","Job Security, Promotions, Skill Development"
Prodair Air Products,3.7,Oil & Gas,"Work Life Balance, Salary, Company Culture","Job Security, Promotions, Skill Development"
ByteDance,4.1,Internet,"Company Culture, Work Life Balance, Salary","Job Security, Promotions"
B. Braun Medical,4.1,Healthcare,"Work Life Balance, Job Security, Company Culture",Promotions
Gokaldas Exports,3.9,Fashion & Textile,Job Security,Promotions
Caresoft Global,3.4,Automobile,"Promotions, Salary, Work Life Balance",
Prism Cement,4.0,Building Material,"Work Life Balance, Job Security, Company Culture",
Emergys,3.3,Software Product,"Promotions, Salary, Company Culture",
Balmer Lawrie,3.6,Packaging,Job Security,"Promotions, Work Satisfaction, Skill Development"
ITI,3.7,Hardware & Networking,Work Life Balance,
Bharat Bijlee,4.2,Electrical Equipment,"Job Security, Work Life Balance, Company Culture",
Almarai,4.3,Food Processing,"Job Security, Company Culture, Work Satisfaction",
Corona Remedies,4.2,Pharma,"Company Culture, Work Life Balance, Job Security",
OLX Autos,3.9,Internet,Salary,"Job Security, Promotions"
NTPC GE Power Services,3.9,Power,"Salary, Job Security",Promotions
Portea Medical,3.7,Healthcare,"Promotions, Job Security, Salary",
Anunta Technology Management Services,3.3,IT Services & Consulting,"Promotions, Work Satisfaction, Job Security",
Khadims,3.7,Fashion & Textile,"Promotions, Salary, Skill Development",
JNS Instruments,4.0,Industrial Machinery,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
Ashapura Group Of Industries,4.1,Metals & Mining,"Work Life Balance, Job Security, Company Culture",Promotions
Bhagwati Products,3.6,Consumer Electronics & Appliances,"Promotions, Company Culture, Job Security",
Yusen Logistics,4.0,Logistics,"Job Security, Work Life Balance, Skill Development",
CodeClouds,3.9,Software Product,"Work Life Balance, Company Culture, Salary",
Vijai Electricals,3.6,Power,Skill Development,"Promotions, Salary"
Majesco,2.9,IT Services & Consulting,"Job Security, Promotions, Skill Development",
Honour Lab,3.8,Pharma,Job Security,Promotions
Kaya Skin Clinic,3.4,Beauty & Personal Care,"Promotions, Company Culture, Work Life Balance",
Reliance Infrastructure,4.1,Engineering & Construction,"Work Life Balance, Company Culture, Job Security",
AQM Technologies,3.2,IT Services & Consulting,"Company Culture, Promotions, Work Life Balance",
BSCPL Infrastructure,3.9,Engineering & Construction,"Promotions, Salary",
Usha Martin,4.0,Iron & Steel,"Job Security, Work Life Balance, Company Culture",Promotions
Orient Craft,3.8,Fashion & Textile,"Work Satisfaction, Company Culture, Skill Development",
Karvy Data Management,3.3,Hyderabad +41 other locations,"Promotions, Salary, Job Security",
Polestar Analytics,4.1,IT Services & Consulting,"Skill Development, Company Culture, Work Life Balance",
Orion Innovation,3.5,IT Services & Consulting,"Promotions, Company Culture, Job Security",
Toyota,4.2,Automobile,"Company Culture, Work Life Balance, Skill Development",
TruBridge Healthcare Private Limited,3.9,Analytics & KPO,"Work Life Balance, Work Satisfaction, Skill Development",
Brembo Brake India,4.0,Auto Components,"Job Security, Company Culture, Work Life Balance",Promotions
Kataria Automobiles,3.6,Automobile,"Job Security, Promotions, Work Satisfaction",
SBI Capital Markets,3.7,Financial Services,"Promotions, Salary, Company Culture",
ELGI Equipments,4.0,Industrial Machinery,"Company Culture, Job Security, Work Life Balance",Promotions
AVAYA,3.2,Software Product,"Job Security, Promotions, Skill Development",
Brembo Brake India,4.0,Auto Components,"Job Security, Company Culture, Work Life Balance",Promotions
Kataria Automobiles,3.6,Automobile,"Job Security, Promotions, Work Satisfaction",
TriGeo Technologies,3.2,IT Services & Consulting,"Promotions, Company Culture, Salary",
Rapido,3.5,Internet,"Promotions, Work Satisfaction, Job Security",
Ciena,4.0,Telecom,"Company Culture, Work Life Balance, Salary",Promotions
Fuji Electric,3.6,Electronics Manufacturing,"Promotions, Salary, Work Satisfaction",
FabHotels,3.2,Hospitality,"Job Security, Promotions, Skill Development",
Birla White,4.1,Building Material,"Job Security, Company Culture, Work Life Balance",Promotions
Knack RCM,3.0,BPO,"Work Life Balance, Work Satisfaction, Promotions",
T.v. Sundram Iyengar & Sons,3.9,Automobile,"Company Culture, Job Security, Skill Development",Promotions
DB Power Limited,4.7,Power,"Work Life Balance, Job Security, Company Culture",
Go Colors,3.9,Fashion & Textile,"Work Life Balance, Job Security",Promotions
GS Lab,3.7,IT Services & Consulting,Work Life Balance,"Job Security, Promotions, Work Satisfaction"
Mjunction Services,3.9,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture",Promotions
Freecharge,3.7,FinTech,Work Life Balance,Promotions
Zscaler Softech,3.4,Software Product,Salary,"Job Security, Promotions, Work Satisfaction"
Flatworld Solutions,3.3,IT Services & Consulting,"Promotions, Salary, Skill Development",
Midland Microfin Limited,3.6,NBFC,"Promotions, Salary, Company Culture",
SPAR Hypermarkets,3.9,Retail,"Company Culture, Work Life Balance, Job Security",Promotions
Tata Steel Downstream Products,3.7,Iron & Steel,Job Security,"Promotions, Salary, Work Satisfaction"
Nuvama Wealth and Investment,3.3,Financial Services,"Promotions, Work Satisfaction, Job Security",
LKQ INDIA,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction",
Vision India Services,4.0,Recruitment,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Meyer Organics,3.6,Pharma,"Promotions, Salary, Company Culture",
Bengal Beverages,3.0,Beverage,"Promotions, Company Culture, Work Satisfaction",
Fossil Group,3.9,Fashion & Textile,"Work Life Balance, Company Culture",Promotions
Neilsoft,3.1,Engineering & Construction,"Promotions, Salary, Work Satisfaction",
Deluxe Entertainment,3.5,Media & Entertainment,"Promotions, Job Security, Skill Development",
Cipla Health,4.2,Pharma,"Salary, Company Culture, Work Life Balance",
Sunwoda Electronic India Pvt Ltd,4.0,Electronics Manufacturing,"Job Security, Company Culture",Promotions
SABIC,4.1,Chemicals,"Work Life Balance, Company Culture, Salary",Promotions
Godrej Jersey,4.0,Food Processing,"Company Culture, Work Life Balance, Job Security",
H & R Johnson,3.5,Building Material,Salary,"Promotions, Work Satisfaction, Company Culture"
DesignTech Systems,3.3,IT Services & Consulting,"Promotions, Company Culture, Work Satisfaction",
Mymd Healthcare,4.2,Internet,"Salary, Company Culture, Work Life Balance",
Transasia Bio-Medicals,3.2,Biotechnology,"Promotions, Company Culture, Work Satisfaction",
Konexions Back Office Services,2.7,BPO,"Promotions, Salary, Company Culture",
K D Hospital,4.5,Healthcare,"Company Culture, Job Security, Skill Development",
NR Switch N Radio Services,3.8,Telecom,Work Life Balance,"Promotions, Job Security"
Zypp Electric,4.0,Internet,"Salary, Company Culture, Work Life Balance",
Montecarlo Construction,4.2,Engineering & Construction,"Salary, Work Life Balance, Company Culture",
Flipkart Health+,3.5,Internet,"Promotions, Job Security, Work Satisfaction",
Ozone Overseas,3.9,Building Material,Promotions,
PULSUS HealthTech Group,3.2,Printing & Publishing,"Salary, Promotions, Job Security",
K D Hospital,4.5,Healthcare,"Company Culture, Job Security, Skill Development",
NR Switch N Radio Services,3.8,Telecom,Work Life Balance,"Promotions, Job Security"
Dee Piping System,4.1,Engineering & Construction,"Work Satisfaction, Skill Development, Salary",
Infosys Consulting,3.4,IT Services & Consulting,"Job Security, Work Life Balance","Promotions, Salary, Work Satisfaction"
Cimpress,3.8,Printing & Publishing,"Company Culture, Work Life Balance","Promotions, Job Security, Skill Development"
Indian Immunologicals,4.1,Biotechnology,"Work Life Balance, Job Security, Work Satisfaction",Promotions
SoftwareOne,3.8,Software Product,Work Life Balance,"Promotions, Skill Development, Work Satisfaction"
Tata Steel Colors,3.7,Iron & Steel,Job Security,"Promotions, Salary"
Aptech,3.3,Education & Training,"Promotions, Work Satisfaction, Skill Development",
Falcon Autotech,3.9,Industrial Automation,Promotions,
Clean Harbors,3.4,Waste Management,"Promotions, Skill Development, Company Culture",
Mashreq Global Services,3.1,Banking,"Promotions, Skill Development, Work Satisfaction",
IL&FS Engineering and Construction,4.4,Engineering & Construction,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Premium Transmission,3.4,Industrial Machinery,"Promotions, Company Culture, Job Security",
Regency Hospital Ltd,4.1,Healthcare,"Work Life Balance, Job Security, Skill Development",
Kothari Agritech,4.2,Building Material,"Work Life Balance, Job Security, Company Culture",
Talbros,3.8,Auto Components,"Promotions, Salary",
Nexteer Automotive,3.8,Auto Components,Promotions,
Nagarjuna Fertilizers and Chemicals,4.1,Agro Chemicals,"Company Culture, Work Life Balance, Skill Development","Promotions, Salary"
The Indian Hotels Company,4.0,Hospitality,"Job Security, Company Culture, Skill Development",Promotions
NIFTEL COMMUNICATIONS,3.7,BPO,Promotions,
Mungi Group,4.0,Auto Components,Skill Development,Promotions
Thrillophilia,3.7,Travel & Tourism,,
Aker Solutions,4.0,Engineering & Construction,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Rakuten Symphony,3.6,Telecom,"Promotions, Job Security, Work Satisfaction",
IndusInd Capital,3.9,Financial Services,"Company Culture, Work Life Balance",Promotions
Tyger Capital,4.0,Financial Services,"Work Life Balance, Salary, Company Culture",
Intercontinental Exchange,3.1,Financial Services,"Promotions, Company Culture, Work Satisfaction",
360 Realtors,3.5,Real Estate,"Work Life Balance, Job Security, Work Satisfaction",
ZTE Corporation,4.0,Telecom,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions, Salary"
Lambda Therapeutic Research,3.8,Clinical Research,"Job Security, Salary, Skill Development",Company Culture
Western Union,2.8,FinTech,"Job Security, Promotions, Work Satisfaction",
Willis Towers Watson,3.7,Financial Services,"Work Life Balance, Job Security","Promotions, Skill Development, Work Satisfaction"
NOON.COM,3.2,Internet,"Promotions, Skill Development, Job Security",
Self Practice,4.4,Analytics & KPO,"Skill Development, Work Life Balance, Work Satisfaction",
Willis Towers Watson,3.7,Financial Services,"Work Life Balance, Job Security","Promotions, Skill Development, Work Satisfaction"
NOON.COM,3.2,Internet,"Promotions, Skill Development, Job Security",
Honeywell International India,4.0,Defence & Aerospace,"Company Culture, Work Life Balance",Promotions
Ami Lifesciences,3.8,Pharma,Salary,Promotions
KLAY Preschool and Daycare,3.6,Bengaluru +18 other locations,"Promotions, Company Culture, Work Satisfaction",
Self Practice,4.4,Analytics & KPO,"Skill Development, Work Life Balance, Work Satisfaction",
Alankit,3.2,Financial Services,"Promotions, Salary, Work Satisfaction",
Chettinad Cements,3.8,Building Material,Salary,"Work Satisfaction, Promotions"
Reshamandi,3.5,Fashion & Textile,"Job Security, Promotions, Skill Development",
IIMI Image Management Private Limited,4.1,BPO,"Company Culture, Work Life Balance, Work Satisfaction",
Mazagon Dock,4.2,Ports & Shipping,"Work Life Balance, Work Satisfaction, Company Culture",Promotions
ZUCOL Services,3.8,IT Services & Consulting,"Promotions, Salary",
InfoBeans,3.3,IT Services & Consulting,"Promotions, Job Security, Skill Development",
Impact Guru,3.5,Internet,"Promotions, Work Life Balance, Work Satisfaction",
Le Méridien,4.0,Hospitality,"Job Security, Skill Development, Company Culture",
Paynearby Technologies,3.9,FinTech,"Salary, Company Culture, Work Life Balance",
Ind-Swift Laboratories,3.9,Pharma,"Job Security, Work Life Balance",Promotions
Asian Granito India,3.6,Building Material,"Promotions, Work Satisfaction, Job Security",
Freyr Solutions,3.7,IT Services & Consulting,Work Life Balance,"Promotions, Skill Development, Work Satisfaction"
ARMSOFTECH.AIR,3.3,IT Services & Consulting,"Promotions, Salary, Company Culture",
Mahindra Lifespace Developers,4.2,Real Estate,"Work Life Balance, Job Security, Company Culture",
Bonfiglioli Transmissions Limited,3.6,Industrial Machinery,"Work Life Balance, Promotions, Company Culture",
Vcare Trichology,3.6,Healthcare,"Promotions, Job Security, Company Culture",
Entrata,3.8,Software Product,"Company Culture, Work Life Balance","Promotions, Skill Development"
GTL Infrastructure,4.2,Hardware & Networking,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Theobroma Foods,3.9,Food Processing,Promotions,
FM LOGISTIC,4.0,Logistics,"Work Life Balance, Job Security",Promotions
State Street Bank,3.5,Banking,"Promotions, Salary, Work Satisfaction",
UNIVO Education,3.4,EdTech,"Promotions, Job Security, Work Life Balance",
Adani Logistics,3.7,Logistics,"Promotions, Company Culture, Work Satisfaction",
NeoGrowth Credit,3.0,NBFC,"Job Security, Work Satisfaction, Company Culture",
Tutopia,4.5,EdTech,"Company Culture, Work Life Balance, Work Satisfaction",
Capital Foods,4.2,Food Processing,"Salary, Work Life Balance, Company Culture",
Citykart Retail,3.7,Retail,"Work Satisfaction, Job Security",
Powerweave,3.3,BPO,"Promotions, Salary, Skill Development",
A. O. Smith India Water Products Private Limited,3.6,Consumer Electronics & Appliances,Salary,"Promotions, Company Culture, Work Satisfaction"
AppInventiv Technologies,3.9,IT Services & Consulting,"Company Culture, Work Life Balance, Work Satisfaction",
Webkul Software,3.9,Software Product,"Skill Development, Company Culture, Work Life Balance",
OnePlus,3.7,Consumer Electronics & Appliances,"Promotions, Job Security",
Siyaram Silk Mills,4.0,Fashion & Textile,Job Security,Promotions
e2open,3.5,Software Product,Work Life Balance,"Promotions, Salary, Skill Development"
Yutika Natural,3.4,Beauty & Personal Care,"Job Security, Promotions, Company Culture",
Kutchina,3.5,Consumer Electronics & Appliances,"Promotions, Salary, Job Security",
YKK,3.7,Fashion & Textile,"Job Security, Work Life Balance","Promotions, Salary, Skill Development"
Siyaram Silk Mills,4.0,Fashion & Textile,Job Security,Promotions
Ramada,3.9,Hospitality,Work Life Balance,
Ingersoll Rand,3.8,Industrial Machinery,Work Life Balance,Promotions
Nous Infosystems,3.5,IT Services & Consulting,"Promotions, Work Satisfaction, Salary",
Indian Institute of Technology Gandhinagar,4.1,Education & Training,"Work Life Balance, Skill Development, Company Culture",
Arvind Fashions,3.8,Fashion & Textile,Work Life Balance,Promotions
Tessolve,3.3,Semiconductors,"Promotions, Salary, Company Culture",
International Automotive Components,3.9,Auto Components,"Skill Development, Company Culture, Job Security",Promotions
Eurofins It Solutions,2.9,IT Services & Consulting,"Promotions, Work Satisfaction, Job Security",
Groupon,3.0,Internet,"Job Security, Promotions, Skill Development",
FCm Travel Solutions,3.2,Travel & Tourism,"Promotions, Job Security, Work Satisfaction",
Systems Plus,4.2,IT Services & Consulting,"Work Life Balance, Company Culture, Salary",
Skillmine Technology Consulting,3.9,Software Product,"Work Life Balance, Work Satisfaction, Salary",
Axis Finance,3.8,NBFC,"Salary, Work Life Balance",
Haleon,3.5,Healthcare,"Promotions, Work Satisfaction, Job Security",
Mann And Hummel Filter,3.9,Industrial Machinery,"Company Culture, Work Life Balance",Promotions
Prolifics Corporation,3.6,IT Services & Consulting,"Promotions, Salary, Company Culture",
Fitelo,3.3,Fitness & Wellness,"Promotions, Job Security, Work Life Balance",
B.C. Jindal Group of Companies,3.9,Iron & Steel,"Salary, Work Life Balance",
Chambal Fertilisers And Chemicals,3.8,Agro Chemicals,"Job Security, Salary","Promotions, Work Life Balance, Company Culture"
Baramati Agro,3.8,Food Processing,Promotions,
Haldia Petrochemicals,3.8,Petrochemicals,"Job Security, Work Life Balance","Promotions, Company Culture, Work Satisfaction"
Tally Solutions,4.0,Software Product,"Company Culture, Work Life Balance, Job Security",Promotions
Echobooom Management & Entrepreneurial Solutions,3.8,Marketing & Advertising,"Skill Development, Company Culture, Work Satisfaction",
Orient Bell,3.3,Building Material,"Promotions, Company Culture, Work Satisfaction",
ABCI Infrastructures,3.4,Engineering & Construction,"Promotions, Company Culture, Work Satisfaction",
National Organic Chemical Industries,3.8,Chemicals,"Work Life Balance, Job Security, Company Culture","Promotions, Salary"
RSWM Limited,4.1,Fashion & Textile,"Company Culture, Job Security, Work Life Balance",Promotions
Indian Political Action Committee,2.8,Other,"Job Security, Promotions, Work Life Balance",
Jyoti CNC Automation,3.9,Industrial Machinery,"Job Security, Skill Development",Promotions
Flipkart Wholesale,3.8,Internet,Promotions,
IMS People,3.6,Recruitment,"Promotions, Salary, Work Satisfaction",
Hero Housing Finance,3.8,NBFC,"Work Life Balance, Salary",Promotions
Carrier Midea,3.6,Consumer Electronics & Appliances,"Promotions, Job Security, Salary",
Marksans Pharma,3.4,Pharma,"Promotions, Company Culture, Salary",
Lotte India Corporation,4.0,FMCG,"Work Life Balance, Work Satisfaction",Promotions
Desun Hospital & Heart Institute,3.8,Healthcare,Skill Development,"Promotions, Salary"
Samsung C&T,4.2,Engineering & Construction,"Salary, Company Culture, Work Life Balance",
Nettur Technical Training Foundation,3.6,Education & Training,"Promotions, Salary, Company Culture",
Educomp Solutions,3.3,EdTech,"Job Security, Promotions, Skill Development",
